,chiapet,random
0.0,0.00682154513572,0.0
0.010101010101,0.0136430902714,0.010101010101
0.020202020202,0.0204646354072,0.020202020202
0.030303030303,0.0272861805429,0.030303030303
0.040404040404,0.0341077256786,0.040404040404
0.0505050505051,0.0409292708143,0.0505050505051
0.0606060606061,0.04775081595,0.0606060606061
0.0707070707071,0.0545723610858,0.0707070707071
0.0808080808081,0.0613939062215,0.0808080808081
0.0909090909091,0.0682154513572,0.0909090909091
0.10101010101,0.0750369964929,0.10101010101
0.111111111111,0.0818585416287,0.111111111111
0.121212121212,0.0886800867644,0.121212121212
0.131313131313,0.0955016319001,0.131313131313
0.141414141414,0.102323177036,0.141414141414
0.151515151515,0.109144722172,0.151515151515
0.161616161616,0.115966267307,0.161616161616
0.171717171717,0.122787812443,0.171717171717
0.181818181818,0.129609357579,0.181818181818
0.191919191919,0.136430902714,0.191919191919
0.20202020202,0.14325244785,0.20202020202
0.212121212121,0.150073992986,0.212121212121
0.222222222222,0.156895538122,0.222222222222
0.232323232323,0.163717083257,0.232323232323
0.242424242424,0.170538628393,0.242424242424
0.252525252525,0.177360173529,0.252525252525
0.262626262626,0.184181718664,0.262626262626
0.272727272727,0.1910032638,0.272727272727
0.282828282828,0.197824808936,0.282828282828
0.292929292929,0.204646354072,0.292929292929
0.30303030303,0.211467899207,0.30303030303
0.313131313131,0.218289444343,0.313131313131
0.323232323232,0.225110989479,0.323232323232
0.333333333333,0.231932534615,0.333333333333
0.343434343434,0.23875407975,0.343434343434
0.353535353535,0.245575624886,0.353535353535
0.363636363636,0.252397170022,0.363636363636
0.373737373737,0.259218715157,0.373737373737
0.383838383838,0.266040260293,0.383838383838
0.393939393939,0.272861805429,0.393939393939
0.40404040404,0.279683350565,0.40404040404
0.414141414141,0.2865048957,0.414141414141
0.424242424242,0.293326440836,0.424242424242
0.434343434343,0.300147985972,0.434343434343
0.444444444444,0.306969531107,0.444444444444
0.454545454545,0.313791076243,0.454545454545
0.464646464646,0.320612621379,0.464646464646
0.474747474747,0.327434166515,0.474747474747
0.484848484848,0.33425571165,0.484848484848
0.494949494949,0.341077256786,0.494949494949
0.505050505051,0.347898801922,0.505050505051
0.515151515152,0.354720347058,0.515151515152
0.525252525253,0.361541892193,0.525252525253
0.535353535354,0.368363437329,0.535353535354
0.545454545455,0.375184982465,0.545454545455
0.555555555556,0.3820065276,0.555555555556
0.565656565657,0.388828072736,0.565656565657
0.575757575758,0.395649617872,0.575757575758
0.585858585859,0.402471163008,0.585858585859
0.59595959596,0.409292708143,0.59595959596
0.606060606061,0.416114253279,0.606060606061
0.616161616162,0.422935798415,0.616161616162
0.626262626263,0.42975734355,0.626262626263
0.636363636364,0.436578888686,0.636363636364
0.646464646465,0.443400433822,0.646464646465
0.656565656566,0.450221978958,0.656565656566
0.666666666667,0.457043524093,0.666666666667
0.676767676768,0.463865069229,0.676767676768
0.686868686869,0.470686614365,0.686868686869
0.69696969697,0.4775081595,0.69696969697
0.707070707071,0.484329704636,0.707070707071
0.717171717172,0.491151249772,0.717171717172
0.727272727273,0.497972794908,0.727272727273
0.737373737374,0.504794340043,0.737373737374
0.747474747475,0.511615885179,0.747474747475
0.757575757576,0.518437430315,0.757575757576
0.767676767677,0.525258975451,0.767676767677
0.777777777778,0.532080520586,0.777777777778
0.787878787879,0.538902065722,0.787878787879
0.79797979798,0.545723610858,0.79797979798
0.808080808081,0.552545155993,0.808080808081
0.818181818182,0.559366701129,0.818181818182
0.828282828283,0.566188246265,0.828282828283
0.838383838384,0.578341340793,0.838383838384
0.848484848485,0.591984431065,0.848484848485
0.858585858586,0.605627521336,0.858585858586
0.868686868687,0.619270611608,0.868686868687
0.878787878788,0.632913701879,0.878787878788
0.888888888889,0.646556792151,0.888888888889
0.89898989899,0.660199882422,0.89898989899
0.909090909091,0.673842972694,0.909090909091
0.919191919192,0.687486062965,0.919191919192
0.929292929293,0.701129153236,0.929292929293
0.939393939394,0.719830120213,0.939393939394
0.949494949495,0.74029475562,0.949494949495
0.959595959596,0.760759391028,0.959595959596
0.969696969697,0.784710819194,0.969696969697
0.979797979798,0.813831620345,0.979797979798
0.989898989899,0.855348780636,0.989898989899
1.0,1.0,1.0
